"Player","Team","Position","G","MP","PER","TSpct","3PAr","FTr","OREBpct","REBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","WS","WS_40","Season"
"Avery Warley-Talbert","TOT","C",3,15,-4.3,0,0,0,7.8,11.8,10.2,0,5.3,25,11.8,-0.1,0,-0.1,-0.205,2016
"Cierra Burdick","ATL","F",8,29,-8.8,0.169,0,0.25,11.8,7.9,0,0,0,18.4,16.3,-0.2,0,-0.2,-0.227,2016
"Brene Moseley","IND","",8,77,-5.7,0.298,0.217,0.217,1.6,2.5,18,2.7,0,38.8,24.3,-0.7,0.1,-0.6,-0.323,2016
"Nirra Fields","PHO","",4,17,-15.9,0.19,0.143,0.286,0,0,0,0,0,20.2,26.5,-0.2,0,-0.2,-0.466,2016
"Ameryst Alston","NYL","",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,2016
"Brittany Boyd","NYL","G",2,32,39.7,0.655,0.067,0.733,10.8,14.2,34.7,4.9,0,9.2,30.2,0.3,0.1,0.4,0.469,2017
"Sylvia Fowles","MIN","C",34,1048,30.8,0.691,0,0.456,14.8,20.6,8.7,2.2,5.2,15.1,23.3,5.7,3.4,9.2,0.35,2017
"Nneka Ogwumike","LAS","F",34,1050,28.1,0.636,0.122,0.354,7.8,16,12.4,3.1,1.5,9.4,24.4,5.5,2.9,8.4,0.321,2017
"Jonquel Jones","CON","F",34,970,26.8,0.634,0.165,0.487,14.2,23.6,8.3,1.5,4,12.2,20.7,4.8,2.4,7.2,0.297,2017
"Elena Delle Donne","WAS","F-G",25,758,28.5,0.636,0.264,0.463,5.9,12.7,10.9,1.4,3.7,8.9,25.2,4.4,1,5.4,0.287,2017
"Brittney Griner","PHO","C",26,820,28.7,0.642,0,0.532,6.7,14.6,13.1,1.1,6.3,12.6,28,3.9,1.5,5.4,0.262,2017
"Maya Moore","MIN","F",34,1063,22.5,0.561,0.338,0.271,6.1,9.8,18.2,3.1,1.1,10.4,24.5,4.1,2.8,6.9,0.258,2017
"Brionna Jones","CON","F",23,147,19.4,0.653,0,0.6,12.2,14.7,3.1,3,1.1,15.1,17.3,0.6,0.3,0.8,0.231,2017
